Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime
5.0, 4.0, 1.0, 3.87, 4.84, 0.0, 4601012.0, 646087.0, 2007407.0, 32912.0, 125.0, 751.0
4.0, 4.0, 1.0, 0.99, 1.23, 0.0, 88427.0, 17526.0, 40217.0, 1018.0, 106.0, 33.0
4.0, 4.0, 1.0, 5.73, 7.16, 0.0, 381965.0, 47886.0, 171521.0, 2424.0, 106.0, 74.0
4.0, 4.0, 1.0, 4.64, 5.8, 0.0, 26168421.0, 4184787.0, 11520344.0, 184776.0, 106.0, 3848.0
5.0, 4.0, 1.0, 11.93, 14.91, 0.0, 31794988.0, 5488443.0, 14647337.0, 195691.0, 125.0, 5031.0
4.0, 4.0, 1.0, 9.74, 12.18, 0.0, 34517485.0, 5276199.0, 15596477.0, 199744.0, 106.0, 5030.0
2.0, 4.0, 1.0, 2.02, 2.53, 0.0, 5013.0, 715.0, 2116.0, 52.0, 68.0, 19.0
3.0, 4.0, 1.0, 8.87, 11.09, 0.0, 578145.0, 93557.0, 244048.0, 4095.0, 87.0, 90.0
4.0, 4.0, 2.0, 0.9, 1.12, 28.0, 23765.0, 3861.0, 10786.0, 221.0, 113.0, 22.0
5.0, 4.0, 2.0, 4.14, 5.17, 8.0, 16897809.0, 2665635.0, 7567579.0, 137695.0, 133.0, 2736.0
4.0, 4.0, 2.0, 6.0, 7.5, 15.0, 1416296.0, 241405.0, 614103.0, 8069.0, 114.0, 214.0
6.0, 4.0, 2.0, 4.35, 5.44, 0.0, 32843561.0, 5162095.0, 14462982.0, 259703.0, 152.0, 5031.0
5.0, 4.0, 2.0, 5.1, 6.37, 16.0, 9190907.0, 1095229.0, 3892153.0, 54990.0, 133.0, 1375.0
6.0, 4.0, 2.0, 4.75, 5.94, 18.0, 35367715.0, 5308238.0, 15251536.0, 174126.0, 152.0, 5031.0
6.0, 4.0, 2.0, 4.52, 5.65, 18.0, 35342842.0, 3956813.0, 14657341.0, 196425.0, 152.0, 5032.0
6.0, 4.0, 2.0, 4.58, 5.73, 20.0, 3665153.0, 560274.0, 1574861.0, 20104.0, 152.0, 555.0
6.0, 4.0, 2.0, 5.47, 6.84, 37.0, 37934325.0, 4351549.0, 15965035.0, 141332.0, 152.0, 5031.0
6.0, 4.0, 2.0, 1.79, 2.24, 42.0, 34320783.0, 5487312.0, 15090565.0, 224252.0, 152.0, 5091.0
4.0, 4.0, 2.0, 5.15, 6.44, 16.0, 2332210.0, 268911.0, 953230.0, 9950.0, 114.0, 325.0
3.0, 4.0, 2.0, 1.48, 1.85, 17.0, 6056.0, 636.0, 2428.0, 35.0, 94.0, 18.0
5.0, 4.0, 2.0, 6.02, 7.52, 12.0, 36885781.0, 3635011.0, 15744015.0, 129621.0, 133.0, 5076.0
6.0, 4.0, 2.0, 6.54, 8.18, 14.0, 37023616.0, 4029002.0, 15334349.0, 246683.0, 152.0, 5032.0
4.0, 4.0, 2.0, 9.53, 11.91, 10.0, 1192968.0, 181248.0, 536967.0, 6875.0, 112.0, 188.0
3.0, 4.0, 2.0, 0.33, 0.41, 16.0, 2786.0, 373.0, 1084.0, 22.0, 91.0, 20.0
4.0, 4.0, 2.0, 7.05, 8.81, 11.0, 11096526.0, 1471929.0, 4925532.0, 52722.0, 112.0, 1558.0
5.0, 4.0, 2.0, 3.6, 4.5, 26.0, 10120892.0, 1248591.0, 4350467.0, 58351.0, 132.0, 1541.0
5.0, 4.0, 2.0, 7.32, 9.15, 22.0, 34090707.0, 4772424.0, 14672196.0, 175454.0, 133.0, 5031.0
4.0, 4.0, 2.0, 5.11, 6.39, 14.0, 1700066.0, 225873.0, 730311.0, 7758.0, 113.0, 256.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.0, 6.0, 1.0, 5.07, 6.34, 0.0, 36371016.0, 6171061.0, 15875088.0, 205670.0, 203.0, 5108.0
5.0, 6.0, 1.0, 11.63, 14.54, 0.0, 34263877.0, 5455279.0, 15484954.0, 172470.0, 157.0, 5031.0
6.0, 6.0, 1.0, 9.22, 11.52, 0.0, 34264200.0, 5138563.0, 15328964.0, 207595.0, 180.0, 5032.0
7.0, 6.0, 1.0, 3.92, 4.9, 0.0, 36723477.0, 4455744.0, 15901057.0, 207082.0, 203.0, 5031.0
8.0, 6.0, 1.0, 5.28, 6.6, 0.0, 35184116.0, 5325344.0, 15515707.0, 285308.0, 226.0, 5064.0
5.0, 6.0, 1.0, 2.29, 2.87, 0.0, 37429307.0, 5094897.0, 15886198.0, 248314.0, 157.0, 5031.0
6.0, 6.0, 1.0, 6.52, 8.15, 0.0, 35697557.0, 7225506.0, 16092728.0, 237037.0, 180.0, 5032.0
6.0, 6.0, 1.0, 13.58, 16.97, 0.0, 37370310.0, 6122075.0, 16736888.0, 171885.0, 180.0, 5031.0
5.0, 6.0, 1.0, 1.09, 1.37, 0.0, 32285734.0, 4729726.0, 14118798.0, 258416.0, 157.0, 5035.0
7.0, 6.0, 1.0, 6.86, 8.58, 0.0, 35741400.0, 5262084.0, 15600059.0, 180104.0, 203.0, 5032.0
5.0, 6.0, 1.0, 0.2, 0.25, 0.0, 139304.0, 24358.0, 62401.0, 1637.0, 157.0, 43.0
7.0, 6.0, 1.0, 6.49, 8.12, 0.0, 35749628.0, 4960296.0, 15765936.0, 147541.0, 203.0, 5050.0
5.0, 6.0, 1.0, 13.09, 16.37, 0.0, 35275774.0, 5841314.0, 15901043.0, 169187.0, 157.0, 5077.0
6.0, 6.0, 1.0, 9.03, 11.29, 0.0, 34255160.0, 7118399.0, 15369997.0, 195897.0, 180.0, 5032.0
7.0, 6.0, 1.0, 5.25, 6.57, 0.0, 37411657.0, 4080467.0, 15974380.0, 160473.0, 203.0, 5032.0
6.0, 6.0, 1.0, 7.07, 8.84, 0.0, 32576517.0, 5477316.0, 14338136.0, 215637.0, 180.0, 5078.0
6.0, 6.0, 1.0, 9.04, 11.31, 0.0, 36969142.0, 5767883.0, 16202413.0, 164145.0, 180.0, 5032.0
5.0, 6.0, 1.0, 0.82, 1.02, 0.0, 37361609.0, 5609625.0, 16069421.0, 255783.0, 157.0, 5032.0
7.0, 6.0, 1.0, 12.14, 15.18, 0.0, 33313323.0, 5166986.0, 14890408.0, 171532.0, 203.0, 5032.0
8.0, 6.0, 2.0, 13.18, 16.48, 48.0, 36259606.0, 5863757.0, 15895620.0, 161137.0, 237.0, 5031.0
8.0, 6.0, 2.0, 0.92, 1.15, 22.0, 36796283.0, 5075209.0, 15325432.0, 191010.0, 237.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
